1000.0000, 6.0000, 0.8648, 0.9418
1000.0000, 5.0000, 0.8648, 0.9418
1000.0000, 1.0000, 0.8648, 0.9418
1000.0000, 2.0000, 0.8648, 0.9418
1000.0000, 4.0000, 0.8648, 0.9418
1000.0000, 3.0000, 0.8648, 0.9418
100.0000, 6.0000, 0.8622, 0.9017
100.0000, 5.0000, 0.8622, 0.9017
100.0000, 3.0000, 0.8622, 0.9017
100.0000, 4.0000, 0.8622, 0.9017
100.0000, 2.0000, 0.8622, 0.9017
100.0000, 1.0000, 0.8622, 0.9017
10.0000, 5.0000, 0.8321, 0.8517
10.0000, 2.0000, 0.8321, 0.8517
10.0000, 3.0000, 0.8321, 0.8517
10.0000, 1.0000, 0.8321, 0.8517
10.0000, 4.0000, 0.8321, 0.8517
10.0000, 6.0000, 0.8321, 0.8517
1.0000, 3.0000, 0.7183, 0.7082
1.0000, 2.0000, 0.7183, 0.7082
1.0000, 4.0000, 0.7183, 0.7082
1.0000, 1.0000, 0.7183, 0.7082
1.0000, 5.0000, 0.7183, 0.7082
1.0000, 6.0000, 0.7183, 0.7082
0.0010, 2.0000, 0.6829, 0.6697
0.1000, 1.0000, 0.6829, 0.6697
0.0100, 2.0000, 0.6829, 0.6697
0.1000, 2.0000, 0.6829, 0.6697
0.0100, 1.0000, 0.6829, 0.6697
0.0010, 6.0000, 0.6829, 0.6697
0.0010, 3.0000, 0.6829, 0.6697
0.0100, 3.0000, 0.6829, 0.6697
0.1000, 3.0000, 0.6829, 0.6697
0.0100, 6.0000, 0.6829, 0.6697
0.0010, 4.0000, 0.6829, 0.6697
0.0100, 4.0000, 0.6829, 0.6697
0.1000, 4.0000, 0.6829, 0.6697
0.1000, 6.0000, 0.6829, 0.6697
0.0010, 5.0000, 0.6829, 0.6697
0.0100, 5.0000, 0.6829, 0.6697
0.1000, 5.0000, 0.6829, 0.6697
0.0010, 1.0000, 0.6829, 0.6697
